dihedral	S0	S1	T1	T2	S2	SOC (T1-S0)
180	0.17827	1.67816	0.90427	1.59727	2.22327	0.84
175	0.18078	1.67722	0.90278	1.60078	2.22478	3.09
170	0.19834	1.68308	0.90434	1.61634	2.23634	6.61
165	0.23344	1.69641	0.91144	1.64444	2.25844	10.48
159	0.32045	1.71764	0.92645	1.69245	2.29045	18.06
154	0.39149	1.75126	0.93849	1.74349	2.33549	21.05
149	0.47171	1.79460	0.95471	1.80271	2.39071	23.61
144	0.55895	1.84789	0.97395	1.86895	2.45295	25.68
139	0.64190	1.90554	0.99490	1.93390	2.51690	27.22
134	0.72469	1.97201	1.01969	2.00469	2.58469	28.16
129	0.81270	2.04809	1.04670	2.08470	2.65870	28.95
123	0.89455	2.12200	1.06655	2.15155	2.72455	29.65
118	1.03336	2.23325	1.08536	2.23736	2.81636	30.32
113	1.10920	2.31843	1.09920	2.31320	2.88320	29.79
108	1.20888	2.41309	1.11388	2.40988	2.96388	29.47
103	1.40296	2.52914	1.12796	2.55996	3.09096	29.36
98	1.49947	2.56516	1.12947	2.62947	3.14947	29.77
93	1.58449	2.58444	1.13049	2.69249	3.19949	30.14
87	1.66813	2.59071	1.13213	2.75813	3.24713	30.46
82	1.76250	2.58395	1.13350	2.83050	3.29850	30.77
77	1.37861	2.48446	1.13261	2.57761	3.10961	32.26
72	1.29775	2.44654	1.13375	2.52775	3.06275	32.78
67	1.22339	2.40936	1.13939	2.48139	3.01939	33.14
62	1.15551	2.37597	1.14751	2.43751	2.98051	33.29
57	1.08004	2.34100	1.15604	2.39004	2.93804	33.34
51	0.98040	2.29352	1.16640	2.32640	2.88140	33.16
46	0.91333	2.26480	1.18133	2.28233	2.84533	32.62
41	0.85014	2.23961	1.20014	2.24014	2.81314	31.82
36	0.79756	2.22466	1.22456	2.20656	2.78856	30.63
31	0.75182	2.21646	1.25282	2.17682	2.76982	29.13
26	0.70426	2.20780	1.28226	2.14426	2.74826	27.30
21	0.67007	2.20871	1.31607	2.12207	2.73707	25.31
15	0.63602	2.20748	1.35002	2.09802	2.72402	23.08
10	0.61450	2.21404	1.38550	2.08350	2.71950	20.75
5	0.59074	2.21592	1.41874	2.06474	2.71174	18.22
0	0.57132	2.21725	1.45032	2.05232	2.70632	15.70
